,Books,Author,Ratings,Price
1,"My Hero Academia, Vol. 29 (29)",Kohei Horikoshi,4.9 out of 5 stars,7.49
2,"My Hero Academia, Vol. 1 (1)",Kohei Horikoshi,4.8 out of 5 stars,5.55
3,"Chainsaw Man, Vol. 7 (7)",Tatsuki Fujimoto,No ratings,9.99
4,Who Let a Demon Lord into the Mage Tower? Volume 2: A Fantasy Light Novel,Atlas Kane,4.8 out of 5 stars,5.99
5,"Jujutsu Kaisen, Vol. 12 (12)",Gege Akutami,No ratings,9.99
6,Rise of the Weakest Summoner: Volume I,J. R. Saileri,4.8 out of 5 stars,4.99
7,"Jujutsu Kaisen, Vol. 9 (9)",No author,4.9 out of 5 stars,17.57
8,"Jujutsu Kaisen, Vol. 8 (8)",No author,4.9 out of 5 stars,11.90
9,"Chainsaw Man, Vol. 4 (4)",Tatsuki Fujimoto,4.9 out of 5 stars,12.03
10,"Fist of the North Star, Vol. 2 (2)",Buronson,4.4 out of 5 stars,17.99
11,"Don't Toy With Me, Miss Nagatoro, volume 8 (Don't Mess With Me, Miss Nagatoro)",Nanashi,4.9 out of 5 stars,11.66
12,Berserk Deluxe Volume 1,No author,4.9 out of 5 stars,48.99
13,Sensor (Junji Ito),Junji Ito,4.7 out of 5 stars,17.99
14,"Jujutsu Kaisen, Vol. 14 (14)",Gege Akutami,No ratings,9.99
15,Teen Titans: Beast Boy Loves Raven,No author,No ratings,13.59
16,Sweat and Soap Vol. 9,No author,5.0 out of 5 stars,7.99
17,Attack on Titan Season 1 Part 1 Manga Box Set,Hajime Isayama,4.8 out of 5 stars,29.04
18,"My Hero Academia, Vol. 25 (25)",Kohei Horikoshi,4.9 out of 5 stars,7.99
19,Wotakoi: Love Is Hard for Otaku Vol. 5,Fujita,No ratings,5.39
20,Arcane Era: Rise of the Combat Mage: An isekai light novel,Darren Hultberg Jr,4.7 out of 5 stars,4.99
21,"BEASTARS, Vol. 14 (14)",Paru Itagaki,4.7 out of 5 stars,11.69
22,"Demon Slayer: Kimetsu no Yaiba, Vol. 1 (1)",Koyoharu Gotouge,4.9 out of 5 stars,9.99
23,"The Legend of Zelda: Twilight Princess, Vol. 9 (9)",No author,5.0 out of 5 stars,7.99
24,Berserk Deluxe Volume 3,Kentaro Miura,4.9 out of 5 stars,40.45
25,"Dragon Ball Super, Vol. 14 (14)",Akira Toriyama,4.9 out of 5 stars,9.99
26,"Solo Leveling, Vol. 1 (comic) (Solo Leveling (manga), 1)",DUBU(REDICE STUDIO),4.8 out of 5 stars,18.00
27,"Demon Slayer: Kimetsu no Yaiba, Vol. 19 (19)",Koyoharu Gotouge,4.9 out of 5 stars,9.54
28,"Toilet-bound Hanako-kun, Vol. 1 (Toilet-bound Hanako-kun, 1)",AidaIro,4.8 out of 5 stars,8.48
29,Tomie: Complete Deluxe Edition (Junji Ito),Junji Ito,4.9 out of 5 stars,34.38
30,"Animal Crossing: New Horizons, Vol. 1: Deserted Island Diary (1)",No author,4.7 out of 5 stars,9.99
31,Berserk Deluxe Volume 2,No author,4.9 out of 5 stars,33.46
32,"The Way of the Househusband, Vol. 6 (6)",Kousuke Oono,No ratings,11.69
33,Berserk Deluxe Volume 4,Kentaro Miura,5.0 out of 5 stars,34.07
34,Berserk Deluxe Volume 8,No author,4.8 out of 5 stars,36.69
35,"My Hero Academia, Vol. 2 (2)",Kouhei Horikoshi,4.9 out of 5 stars,11.13
36,Berserk Deluxe Volume 5,Kentaro Miura,5.0 out of 5 stars,33.61
37,The Strongest Sage with the Weakest Crest 05,Shinkoshoto,5.0 out of 5 stars,6.99
38,"Jujutsu Kaisen, Vol. 1 (1)",No author,4.9 out of 5 stars,21.79
39,"Vagabond, Vol. 1 (VIZBIG Edition)",Takehiko Inoue,4.8 out of 5 stars,16.15
40,Rent-A-Girlfriend 8,Reiji Miyajima,4.0 out of 5 stars,11.49
41,"Berserk, Vol. 1",Kentaro Miura,4.8 out of 5 stars,8.46
42,BLOODY ALPHABET: The Scariest Serial Killers Coloring Book. A True Crime Adult Gift - Full of Famous Murderers. For Adults Only. (True Crime Gifts),No author,4.7 out of 5 stars,8.99
43,"Demon Slayer: Kimetsu no Yaiba, Vol. 9 (9)",Koyoharu Gotouge,4.9 out of 5 stars,7.76
44,"Demon Slayer: Kimetsu no Yaiba, Vol. 18 (18)",Koyoharu Gotouge,4.9 out of 5 stars,9.54
45,Attack on Titan Vol. 1,Hajime Isayama,4.8 out of 5 stars,5.39
46,Batman: The World,No author,4.0 out of 5 stars,22.49
47,"One-Punch Man, Vol. 23 (23)",No author,No ratings,7.99
48,"How to Draw Anime (Includes Anime, Manga and Chibi) Part 1 Drawing Anime Faces",No author,4.7 out of 5 stars,3.50
49,As a man Thinketh: The Original 1902 Edition (The Wisdom Of James Allen),James Allen,4.7 out of 5 stars,5.99
50,"Fist of the North Star, Vol. 3 (3)",No author,No ratings,19.99
51,"Spy x Family, Vol. 6 (6)",Tatsuya Endo,No ratings,9.99
52,Living-Room Matsunaga-San Vol. 10,No author,No ratings,5.39
53,"Solo Leveling, Vol. 3 (comic) (Solo Leveling (comic), 3)",DUBU(REDICE STUDIO),No ratings,12.49
54,Sweat and Soap 9,No author,5.0 out of 5 stars,12.28
55,Wotakoi: Love Is Hard for Otaku 5,Fujita,No ratings,16.19
56,Attack on Titan 34,No author,No ratings,9.89
57,Berserk Deluxe Volume 7,Kentaro Miura,5.0 out of 5 stars,35.37
58,Uzumaki (3-in-1 Deluxe Edition) (Junji Ito),No author,4.9 out of 5 stars,29.86
59,Rebel prisoners Chapter 1,No author,No ratings,3.99
60,"Blank Comic Book For Kids : Create Your Own Comics With This Comic Book Journal Notebook: Over 100 Pages Large Big 8.5"" x 11"" Cartoon / Comic Book With Lots of Templates (Blank Comic Books)",Blank Books 'N' Journals,4.7 out of 5 stars,6.95
61,Death Note Complete Box Set: Volumes 1-13 with Premium,Tsugumi Ohba,4.9 out of 5 stars,86.24
62,"Jujutsu Kaisen, Vol. 5 (5)",No author,4.9 out of 5 stars,9.95
63,Our Fake Marriage Vol. 7,Kiwi Tokina,No ratings,7.99
64,"One Piece, Vol. 1: Romance Dawn",Eiichiro Oda,4.9 out of 5 stars,6.74
65,No Longer Human (Junji Ito),No author,4.9 out of 5 stars,31.49
66,"My Hero Academia, Vol. 28 (28)",Kohei Horikoshi,4.9 out of 5 stars,9.99
67,"Naruto (3-in-1 Edition), Vol. 2: Includes vols. 4, 5 & 6 (2)",Masashi Kishimoto,4.8 out of 5 stars,8.82
68,"Demon Slayer: Kimetsu no Yaiba, Vol. 23 (23)",Koyoharu Gotouge,4.9 out of 5 stars,5.88
69,"Solo Leveling, Vol. 2 (comic) (Solo Leveling (comic), 2)",DUBU(REDICE STUDIO),4.9 out of 5 stars,18.00
70,"The Way of the Househusband, Vol. 6",Kousuke Oono,No ratings,7.99
71,"Demon Slayer: Kimetsu no Yaiba, Vol. 2 (2)",Koyoharu Gotouge,4.9 out of 5 stars,9.54
72,"Jujutsu Kaisen, Vol. 11 (11)",Gege Akutami,4.9 out of 5 stars,7.81
73,"One Piece, Vol. 97 (97)",Eiichiro Oda,4.8 out of 5 stars,9.99
74,Berserk Deluxe Volume 9,Kentaro Miura,4.9 out of 5 stars,44.99
75,"Chainsaw Man, Vol. 9 (9)",Tatsuki Fujimoto,No ratings,9.99
76,Berserk Deluxe Volume 10,Kentaro Miura,No ratings,44.99
77,"Hell's Paradise: Jigokuraku, Vol. 10 (10)",Yuji Kaku,No ratings,11.88
78,"My Hero Academia, Vol. 27 (27)",Kohei Horikoshi,4.9 out of 5 stars,3.99
79,"Boruto: Naruto Next Generations, Vol. 12 (12)",No author,4.7 out of 5 stars,7.72
80,Berserk Deluxe Volume 6,Kentaro Miura,5.0 out of 5 stars,44.99
81,Attack on Titan Season 1 Part 2 Manga Box Set,Hajime Isayama,4.9 out of 5 stars,39.56
82,FGTeeV Presents: Into the Game!,FGTeeV,4.8 out of 5 stars,2.36
83,"Chainsaw Man, Vol. 8 (8)",Tatsuki Fujimoto,No ratings,9.99
84,Blue Period 1,No author,4.8 out of 5 stars,11.69
85,Danganronpa: The Animation Volume 1,No author,4.8 out of 5 stars,11.31
86,"Toilet-bound Hanako-kun, Vol. 8 (Toilet-bound Hanako-kun, 8)",AidaIro,4.9 out of 5 stars,11.70
87,"My Hero Academia, Vol. 24 (24)",Kohei Horikoshi,4.9 out of 5 stars,3.12
88,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Vol. 1,No author,4.7 out of 5 stars,5.39
89,"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 1 (1)",Hirohiko Araki,4.9 out of 5 stars,19.21
90,Cook Anime: Eat Like Your Favorite Characterâ€•From Bento to Yakisoba,Diana Ault,4.8 out of 5 stars,17.76
91,"Jujutsu Kaisen, Vol. 13 (13)",Gege Akutami,No ratings,9.99
92,Towers of Acalia: The Reincarnated Core Volume IV,Atlas Kane,4.7 out of 5 stars,4.99
93,Akira 35th Anniversary Box Set,Katsuhiro Otomo,4.9 out of 5 stars,147.68
94,"Hunter x Hunter, Vol. 2",No author,4.9 out of 5 stars,7.99
95,"Chainsaw Man, Vol. 2 (2)",Tatsuki Fujimoto,4.8 out of 5 stars,16.95
96,"Dragon Ball Super, Vol. 13 (13)",Akira Toriyama,4.9 out of 5 stars,8.99
97,"Naruto, Vol. 1: Uzumaki Naruto",Masashi Kishimoto,4.8 out of 5 stars,7.04
98,"Splatoon, Vol. 13 (13)",Sankichi Hinodeya,5.0 out of 5 stars,9.99
99,"Star Wars: The High Republic: Edge of Balance, Vol. 1 (1)",No author,4.2 out of 5 stars,13.49
100,"Chainsaw Man, Vol. 1 (1)",No author,4.8 out of 5 stars,18.95
